ISO3,pa_marine_area,pa_land_area,marine_area,land_area,percentage_pa_land_cover,percentage_pa_marine_cover,pame_pa_marine_area,pame_pa_land_area,pame_percentage_pa_marine_cover,pame_percentage_pa_land_cover,percentage_nr_land_cover,percentage_nr_marine_cover,nr_version,nr_report_url
ABNJ,2608285.399,0,235080140,0,0,1.10953,0,0,0,0,na,na,na,0
ABW,0.026514,35.833833,25213.94735,189.420844,18.91758,0.000105,0,0,0,0,na,na,na,0
AFG,0,673.16062,0,642899.1342,0.104707,0,0,597.988499,0,88.83295921,na,na,0,No information found in 5th National Report
AGO,24.341169,87506.59246,493753.373,1255217.852,6.971426,0.00493,19.751236,32400.49499,81.14333375,37.02634748,12.5,na,5,https://www.cbd.int/doc/world/ao/ao-nr-05-en.pdf
AIA,32.219534,6.274344,92653.59144,85.524417,7.336319,0.034774,0,0,0,0,na,na,na,0
ALA,423.803835,26.105067,0,0,0,0,0,0,0,0,na,na,na,0
ALB,317.982216,5343.929139,11199.39919,28746.5563,18.58981,2.839279,42.889141,45.148125,13.48790556,0.844848871,15.83,na,5,https://www.cbd.int/doc/world/al/al-nr-05-en.pdf
AND,0,126.120308,0,471.870724,26.72772,0,0,26.105939,0,20.69923505,35.7,0,6,https://chm.cbd.int/pdf/documents/nationalReport6/241228/1
ARE,6166.123302,12733.89139,54711.04352,70921.45739,17.95492,11.27034,2157.773724,8709.828567,34.99400869,68.39879735,na,na,0,0
ARG,127461.6023,235910.9544,1083150.624,2785327.721,8.469773,11.76767,2419.277559,64069.04353,1.898044207,27.15814689,na,na,0,0
ARM,0,7215.157913,0,29685.40559,24.3054,0,0,3445.371044,0,47.75184529,13.1,na,5,https://www.cbd.int/doc/world/am/am-nr-05-en.pdf
ASM,35457.57732,33.371984,406816.029,210.578755,15.84774,8.715876,0,0,0,0,na,na,0,0
ATA,4774.711754,0,0,0,0,0,0,0,0,0,na,na,0,0
ATF,1703814.985,7851.105613,2277432,7855.43,99.94495,74.81299,0,0,0,0,na,na,0,0
ATG,196.917827,84.536207,108492.3833,455.237976,18.56967,0.181504,0,0,0,0,na,na,5,https://www.cbd.int/doc/world/ag/ag-nr-05-en.pdf
AUS,3035629.909,1497070.275,7432133.367,7722102.022,19.38682,40.84467,378735.7251,303593.6712,12.47634713,20.27918637,16.25,36.2,5,https://www.cbd.int/doc/world/au/au-nr-05-en.pdf
AUT,0,23845.24902,0,83912.25912,28.41688,0,0,471.966738,0,1.979290456,27,na,5,https://www.cbd.int/doc/world/at/at-nr-05-en.pdf
AZE,345.314137,8798.362587,79032.11878,86639.62334,10.15513,0.436929,0.154514,2880.890839,0.044745924,32.74348847,10.3,na,5,https://www.cbd.int/doc/world/az/az-nr-05-en.pdf
BDI,0,2065.705683,0,27210.87243,7.591472,0,0,1422.09236,0,68.84293206,na,na,5,https://www.cbd.int/doc/world/bi/bi-nr-05-fr.pdf
BEL,1270.092259,7644.431069,3465.140147,30683.07213,24.91416,36.65342,6.573839,3866.765791,0.517587518,50.58278054,12.77,35.85,6,https://chm.cbd.int/database/record/190C2BA4-9F5C-AD89-32B5-778480AB2C5B
BEN,0,34369.00255,30425.6792,116095.3632,29.60411,0,0,11330.99346,0,32.96864215,20.16,na,5,https://www.cbd.int/doc/world/bj/bj-nr-05-fr.pdf
BES,2755.525866,91.577774,25112.35272,322.852496,28.36521,10.97279,0,0,0,0,na,na,0,0
BFA,0,41157.73345,0,276403.7182,14.89044,0,0,4959.123073,0,12.04906747,na,na,0,0
BGD,4530.002605,6455.725175,84563.21214,140160.1678,4.605963,5.356943,738.144196,931.396849,16.29456449,14.42745507,1.8,2.05,5,https://www.cbd.int/doc/world/bd/bd-nr-05-en.pdf
